Count,Text,User,User_location,User Continent,User_verified,fav_count,rt_count,tweet_date
1,"RT @FindTampaJobs: Vantagepoint ai, LLC has a great Customer Marketing Specialist opportunity. Learn more or Jobvite a friend to join one o…",PyScale,"Town 'n' Country, FL",North America,FALSE,0,1,29-03-2021
2,"Vantagepoint ai, LLC has a great Customer Marketing Specialist opportunity. Learn more or Jobvite a friend to join… https://t.co/WgBCEj7kq4",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,1,28-03-2021
3,Here's a turn table. Excited to see what is next #3d #3dart #blender #b3d #gameart #gameartist #darksouls… https://t.co/syVIlI13Zt,Nico Skorzewski | Looking for Work,"Portland, OR",North America,FALSE,11,1,28-03-2021
4,"👷HIRING: ( PLEASE SHARE)

MACHINIST (Metal Fabricator) 💼👍
LOCATION: Michigan State USA
SALARY: $25 - $30 / Hour
___… https://t.co/0boe3kfdrD",MetalRecruiters.com,USA & Canada,North America,FALSE,0,0,28-03-2021
5,"🌟HIRING - PLEASE SHARE - HIRING🌟
_______________
DIRECTOR
(Steel Service Center)
LOCATION: Ontario, CANADA
SALARY:… https://t.co/vC4V5KuMzj",MetalRecruiters.com,USA & Canada,North America,FALSE,0,0,28-03-2021
6,"From #marketing to #engineering, we're looking to expand our team. Learn more about our open positions here 👉… https://t.co/DYs74h6pfg",Treasure Data,"Mountain View, CA",North America,FALSE,1,0,28-03-2021
7,"RT @argeordata: Those 6 months I worked really hard (possibly harder than a full time job) 
to improve my skills in python, r a little sql…",Calefyb,,,FALSE,0,1,28-03-2021
8,"🌟HIRING - PLEASE SHARE - HIRING🌟
_____________________________
PURCHASING MANAGER  (Custom Fabricator)
LOCATION: TN… https://t.co/Php68jm77K",MetalRecruiters.com,USA & Canada,North America,FALSE,0,0,28-03-2021
9,"👉HIRING 👔 - PLEASE SHARE -
_____________
LEAD EXTRUDER (Flexible Packaging)
BG-2192 - OHIO STATE
💲Salary $25-30/Hr… https://t.co/Cwb6rKgPM0",PlasticStaffing.com,USA & Canada,North America,FALSE,0,0,28-03-2021
10,"Those 6 months I worked really hard (possibly harder than a full time job) 
to improve my skills in python, r a lit… https://t.co/Y6dOXVkq1C",Argyrios Georgiadis,"Thessaloniki, Greece",Europe,FALSE,0,1,28-03-2021
11,"I am more than one and half years unemployed which is kind of scary. However, the past six months I took seriously… https://t.co/9xNz20xdLT",Argyrios Georgiadis,"Thessaloniki, Greece",Europe,FALSE,0,0,28-03-2021
12,"🌟HIRING - PLEASE SHARE - HIRING🌟
_____________________________
SALES MANAGER (Industrial Storage)
LOCATION: PA Stat… https://t.co/Eev1aJdG89",MetalRecruiters.com,USA & Canada,North America,FALSE,0,0,28-03-2021
13,"Vantagepoint ai, LLC has a great Inside Sales opportunity. Learn more or Jobvite a friend to join one of the Best P… https://t.co/DJFoxoBQyM",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,0,28-03-2021
14,Sikich LLP is looking for Tax Partner. Learn more or Jobvite a friend. #job #hiring #forhire #jobpost #workhere… https://t.co/h7E4Fht1xL, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,28-03-2021
15,"Kiira Motors Uganda Jobs 2021 – 2 Quality, Inspection &amp; Testing Engineers
#job #jobs #fresherjobsuganda #hiring… https://t.co/2TgLa0bci3",FresherJobsUganda,"Kampala, Uganda",Africa,FALSE,0,0,28-03-2021
16,"World Vision Uganda Jobs 2021 – Customer Support Analyst
#job #jobs #fresherjobsuganda #hiring #opentowork #MWIUGA https://t.co/oHXx8WseuV",FresherJobsUganda,"Kampala, Uganda",Africa,FALSE,0,0,28-03-2021
17,RT @davidfano: Great thread on #OpenToWork banner on LinkedIn. I’m still 50/50 on it,Go Social with Khalid,,,FALSE,0,2,28-03-2021
18,"Checking on the traffic to my website https://t.co/u2fHSXsMfZ, I’m see an uptick from China. . . ? Anyone wanna hel… https://t.co/NvbF0YdYJq",Elliot Matthews,DC Metro Area,North America,FALSE,0,0,28-03-2021
19,"@malissaali Hye Malissa, I realized that few of my connections ada that tagging #opentowork eventho they actually s… https://t.co/Ms4QdjBDqA",eh_ovo_☻✌︎,"Baker street, London",Europe,FALSE,0,0,28-03-2021
20,RT @davidfano: Great thread on #OpenToWork banner on LinkedIn. I’m still 50/50 on it,Christina Garnett,CLT ➡️ ROA,North America,FALSE,0,2,28-03-2021
21,"The replay...
Visit: https://t.co/7nSenbVClr
#OpenToWork #mindfulness #personaldevelopment #speaker… https://t.co/sa9GMLZhSk",J.H. Wright,,,FALSE,0,0,28-03-2021
22,"Vantagepoint ai, LLC has a great Inside Sales opportunity. Learn more or Jobvite a friend to join one of the Best P… https://t.co/YogYGXQqwP",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,0,28-03-2021
23,"RT @IdealJobsWorld1: Banking Jobs in Lahore

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter  #jobopenings #o…",HumanResource by PartwellHR,"Berlin, Germany",Europe,FALSE,0,4,28-03-2021
24,"RT @IdealJobsWorld1: Medical Jobs in Qatar

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter #jobseek #jobopen…",HumanResource by PartwellHR,"Berlin, Germany",Europe,FALSE,0,4,28-03-2021
25,"RT @IdealJobsWorld1: Medical Jobs in Qatar

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter #jobseek #jobopen…",Muhammad Khan,,,FALSE,0,4,28-03-2021
26,"RT @IdealJobsWorld1: Banking Jobs in Lahore

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter  #jobopenings #o…",Muhammad Khan,,,FALSE,0,4,28-03-2021
27,"RT @MetalRecruiters: Kenny Zaidner, Talent Acquisition Director
kenny@metalrecruiters.com
954-889-7829

#manufacturing #HVAC #sheetmetal ##…",Roger Lopez,United States,North America,FALSE,0,2,28-03-2021
28,"RT @WoodJOBS: 👉HIRING 💼👔
_____________
DIRECTOR OF ENGINEERING
(CUSTOM WOODWORK)
CR5530 - GA State
Salary $80,000 - $8100,000 / yr DOE

#ca…",Roger Lopez,United States,North America,FALSE,0,1,28-03-2021
29,Great thread on #OpenToWork banner on LinkedIn. I’m still 50/50 on it https://t.co/fyliUGadie,Dave Fano,"Miami, FL",North America,FALSE,11,2,28-03-2021
30,Sikich LLP is looking for Audit Manager. Learn more or Jobvite a friend. #job #hiring #forhire #jobpost #workhere… https://t.co/nrToPvuQtk, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,28-03-2021
31,"RT @FindTampaJobs: Vantagepoint ai, LLC has a great Inside Sales opportunity. Learn more or Jobvite a friend to join one of the Best Places…",Algocentric Digital Consultancy,"Toronto, Ontario",North America,FALSE,0,1,28-03-2021
32,"Vantagepoint ai, LLC has a great Inside Sales opportunity. Learn more or Jobvite a friend to join one of the Best P… https://t.co/mzTNexIHpl",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,1,1,28-03-2021
33,"This HOLI adds colours to your profile.

Uniquely showcase yourself with an Impressive CV &amp; Cover Letter.

Send us… https://t.co/d9KxMywh2y",Mirabhav Digital Services,,,FALSE,0,0,28-03-2021
34,"RT @fredtosan: Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advic…",Lone Wolf,port harcourt,Africa,FALSE,0,5,28-03-2021
35,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,Tech-Bot,,,FALSE,0,7,28-03-2021
36,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,Tech-Bot,,,FALSE,0,7,28-03-2021
37,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,Friday,,,FALSE,0,7,28-03-2021
38,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,Calefyb,,,FALSE,0,7,28-03-2021
39,"RT @Dellaporta: Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advi…",Μαρία η Άνεργη,"London, United Kingdom",Europe,FALSE,0,14,28-03-2021
40,"RT @fredtosan: Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advic…",I LIKE FOOD WELL WELL! 😋,Somewhere in your head,South America,FALSE,0,5,28-03-2021
41,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,Developer RT Bot,Twitter,South America,FALSE,0,7,28-03-2021
42,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,CodersNotes,codeanywhere.com,South America,FALSE,0,7,28-03-2021
43,RT @mac_experts: #R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR API whic…,Very Proud Robot,,,FALSE,0,7,28-03-2021
44,#R10D12 Saturday so I played a couple of hours with some callback hell examples using the https://t.co/4h2jdsTltR A… https://t.co/I7YsxiDEtW,Nick Haras aka macnick,"Athens || Volos , Greece",Europe,FALSE,3,7,28-03-2021
45,"How to Hide Columns in Excel https://t.co/q9pnw7yeaU via @YouTube 
videos on my second channel about IT. from basic… https://t.co/xpV6k3KCuN",Rob does IT,,,FALSE,1,0,28-03-2021
46,"How to Hide Columns in Excel https://t.co/bXsTPyUgNv via @YouTube 
videos on my second channel about IT. from basic… https://t.co/N5qXX5i3HR",RobJorg,"Amsterdam, The Netherlands",Europe,FALSE,1,0,28-03-2021
47,"Vantagepoint ai, LLC has a great Inside Sales opportunity. Learn more or Jobvite a friend to join one of the Best P… https://t.co/VEZ0WfttKs",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,1,28-03-2021
48,"RT @TemokiSan: Hi there! This is my  Animation Showreel!
 Im 3D General Artist, Available for Work.
Temirlan - Demo Reel Animation 2021 via…",Tech-Bot,,,FALSE,0,1,28-03-2021
49,"Hi there! This is my  Animation Showreel!
 Im 3D General Artist, Available for Work.
Temirlan - Demo Reel Animation… https://t.co/MBeNJcGjOr",Temirlan Kenzhegaliyev,"Minnesota, US",North America,FALSE,0,1,28-03-2021
